First Name,Last Name,Gender,Team,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference,Reward ID
James,Hedley,M,,,,UK,01/09/1997,5; 216,0,0,63,,,,,,,,,0,7.5,7,7,7.5,7,6,8,5,7.5,0.74,84,79,,,,,,,,,,,5,85,90,55,3,93,8,95,1,0,9,1,0,0,0,7,0,4,2,4,40,5,5,3,31,1,1,0,100,1.736111111,SingleSeaterSeries; EnduranceSeries,
David,Schumacher,M,,,,Germany,23/10/1995,5; 40; 65; 98,0,0,63,,,,,,,,,0,8.5,8.5,7,8.5,8,7,9,6,8,0.88,99,83,,,,,,,,,,,10,95,70,75,3,61,38,91,5,4,8,3,0,0,0,11,0,2,6,3,70,5,10,3,30,1,1,0,100,1.958333333,SingleSeaterSeries; EnduranceSeries,
Matteo,Nannini,M,,,,Italy,10/07/1997,5; 40; 65; 216,0,0,64,,,,,,,,,0,8.5,8.5,8,9,8,6.5,9,7,9,0.42,7,37,,,,,,,,,,,18,80,80,35,4,58,28,42,0,1,8,3,0,1,0,9,0,8,0,7,60,5,8,1,37,1,3,0,100,2.041666667,SingleSeaterSeries,
Ayrton,Simmmons,M,,,,UK,29/04/1995,65,0,0,63,,,,,,,,,0,7.5,7.5,7,8,7.5,6,8,4.5,8,0.65,3,74,,,,,,,,,,,10,95,70,85,4,83,40,14,1,5,8,0,0,3,0,13,0,7,6,10,58,5,10,3,32,1,1,0,100,1.777777778,SingleSeaterSeries; EnduranceSeries,
Oliver,Rasmussen,M,21,Reserve,,Denmark,21/11/1994,16,0,0,64,0.87,2018,2016,0,,0,,0,0,6.5,6.5,6,7.5,7,6.5,8,4.5,7,0.54,3,74,,,,,,,,,,,10,95,70,35,3,83,40,14,1,5,8,0,0,3,0,13,0,7,6,10,40,5,10,1,30,1,1,0,100,1.652777778,SingleSeaterSeries; EnduranceSeries,
Hadrien,David,M,13,Reserve,,France,26/02/1998,5; 65; 108,0,0,62,0.67,2017,2015,0,,0,,0,0,6.75,6.75,6.5,6.75,6.75,5,8,5,7.5,0.75,85,13,,,,,,,,,,,8,90,75,75,3,60,17,56,2,5,1,0,0,0,0,4,0,3,9,5,60,5,15,3,35,1,1,0,100,1.638888889,SingleSeaterSeries,
Guillherme,Samaia,M,14,Reserve,,Brazil,02/10/1990,165,0,0,63,0.95,2017,2016,0,,0,,0,2,6,6,6,6,7,6,8,5.5,7.5,0.65,76,100,,,,,,,,,,,15,80,65,5,2,96,86,82,1,5,3,0,0,0,0,13,0,5,8,1,50,5,5,3,36,1,5,0,100,1.611111111,SingleSeaterSeries; EnduranceSeries,
Juan Manuel,Correa,M,16,Equal,,UnitedStates,09/08/1993,16,0,0,66,1.15,2018,2016,0,,0,,0,2,8.5,8.5,7,8.5,8,7,9,6,8,0.52,76,100,,,,,,,,,,,20,80,65,35,4,96,86,82,1,5,3,0,0,0,0,13,0,5,8,1,45,5,5,1,32,1,5,0,100,1.958333333,SingleSeaterSeries; EnduranceSeries,
Lukas,Dunner,M,16,Reserve,,Austria,12/02/1996,16,0,0,64,0.82,2018,2015,0,,0,,0,0,6,6.5,6,6.5,6.5,6,8,6,6.5,0.65,99,83,,,,,,,,,,,15,80,90,35,3,61,38,91,5,4,8,3,0,0,0,11,0,2,6,3,50,5,5,4,29,1,1,0,100,1.611111111,EnduranceSeries; SingleSeaterSeries,
Ren,Sato,M,17,Reserve,,Japan,05/08/1995,16; 229,0,0,65,0.66,2017,2015,0,,0,,0,0,6,6,6,7,7,6,8,5,7,0.9,49,79,,,,,,,,,,,25,80,70,25,3,83,40,20,1,2,7,0,0,0,0,5,0,5,9,7,40,5,5,1,31,1,1,0,100,1.611111111,EnduranceSeries; SingleSeaterSeries,
Arjun,Maini,M,,,,India,12/12/1987,16,0,0,65,,,,,,,,,0,6,6.5,6,6.5,6.5,6,8,6,6.5,0.63,38,14,,,,,,,,,,,5,70,70,15,3,39,49,58,3,4,7,0,0,0,0,12,0,4,9,8,25,5,5,1,42,1,2,0,100,1.611111111,SingleSeaterSeries,
Franco,Colapinto,M,,,,Argentina,27/05/1997,5; 6; 65,0,0,64,,,,,,,,,0,5,4,6,3,4,5,6,8,3,0.56,89,65,,,,,,,,,,,10,75,70,95,3,20,15,36,5,4,7,0,0,0,0,11,0,2,1,6,89,5,240,4,38,1,4,0,100,1.222222222,EnduranceSeries; SingleSeaterSeries,
Esteban,Masson,M,,,,France,18/09/1998,16,0,0,63,,,,,,,,,0,7,7,6.5,7,6.76,6,8,5,7.5,0.72,85,2,,,,,,,,,,,5,90,70,70,3,11,48,39,1,3,4,3,0,0,0,15,0,9,2,3,50,5,10,2,34,1,1,0,100,1.687777778,SingleSeaterSeries; EnduranceSeries,
Andreas,Estner,M,20,Reserve,,Germany,03/07/1994,5,0,0,63,0.86,2018,2016,0,,0,,0,0,6.5,6,6.5,6,6.5,5,7.5,5.5,6.5,0.73,58,75,,,,,,,,,,,10,70,65,30,3,64,43,62,1,1,4,0,0,0,0,13,0,7,6,4,50,5,5,3,31,1,1,0,100,1.555555556,SingleSeaterSeries; EnduranceSeries,
Niko,Kari,M,,,,Finland,18/10/1993,16,0,0,64,,,,,,,,,0,7.5,7.5,7.5,7,8.5,6.5,8.8,9,7.5,0.71,1,49,,,,,,,,,,,35,80,70,15,4,52,4,15,1,3,9,0,0,0,0,10,0,5,7,2,35,5,5,6,30,1,1,0,100,1.938888889,SingleSeaterSeries; EnduranceSeries,
Sebastian,Fernandez,M,,,,Spain,12/07/1994,16,0,0,64,,,,,,,,,0,6.5,6.5,6.5,8,7,5,8,5,7,0.59,60,47,,,,,,,,,,,15,80,75,25,3,86,58,90,3,5,8,0,0,0,0,1,0,9,2,9,50,5,5,1,31,1,1,0,100,1.652777778,SingleSeaterSeries; EnduranceSeries,
David,Vidales,M,,,,Spain,01/05/1996,16,0,0,64,,,,,,,,,0,6.5,6.5,6.5,7,6.5,6,7.5,5,7,0.65,3,74,,,,,,,,,,,15,95,70,25,3,83,40,14,1,5,8,0,0,3,0,13,0,7,6,10,45,5,5,3,31,1,1,0,100,1.625,EnduranceSeries; SingleSeaterSeries,
Rafael,Villagomez,M,31,Equal,,Mexico,10/11/1995,16,0,0,63,0.82,2018,2016,0,,0,,0,0,6.75,6.5,6.75,6.5,6.5,5,7.5,5.5,6.5,0.92,49,79,,,,,,,,,,,5,75,70,35,3,83,40,20,1,2,7,0,0,0,0,5,0,5,9,7,40,5,5,3,29,1,1,0,100,1.597222222,SingleSeaterSeries,
Konsta,Lappalainen,M,,,,Finland,11/08/1996,16,0,0,64,,,,,,,,,0,6,6,6,6.5,7,7,8,6.5,6.5,0.79,28,93,,,,,,,,,,,12,85,75,35,4,28,72,15,3,2,6,1,0,5,0,15,0,3,7,7,50,5,5,1,30,1,6,0,100,1.652777778,EnduranceSeries; SingleSeaterSeries,
Patrik,Pasma,M,,,,Finland,02/03/1994,5; 65,0,0,64,,,,,,,,,0,7,7,7,7.5,7.5,6,8,6.5,7.5,0.55,45,56,,,,,,,,,,,15,95,70,45,4,9,48,29,0,4,9,0,0,0,0,6,0,6,9,1,55,5,10,2,26,1,1,0,100,1.777777778,Any,
Reshad,de Gerus,M,,,,France,01/07/1997,16,0,0,64,,,,,,,,,0,6.75,7,7,7.5,6.85,6.5,8,5.5,7,0.74,84,79,,,,,,,,,,,8,85,90,35,3,93,8,95,1,0,9,1,0,0,0,7,0,4,2,4,50,5,10,3,36,1,1,0,100,1.725,EnduranceSeries; SingleSeaterSeries,
Federico,Malvestiti,M,,,,Italy,12/06/1994,5,0,0,63,,,,,,,,,0,6,6,6,6.5,6,5,6.5,4,6,0.66,23,73,,,,,,,,,,,5,95,70,45,4,72,88,22,3,2,8,4,0,0,0,9,0,10,10,6,50,5,3,2,36,1,1,0,100,1.444444444,SingleSeaterSeries; EnduranceSeries,
Luke,Browning,M,28,Reserve,,UK,31/01/1996,42,0,0,68,0.2,2018,2016,0,,0,,0,0,5.29,12.98,5.53,11.4,9.14,7.37,19.98,8.15,12.27,0.55,91,47,,,,,,,,,,,8,90,70,65,3,89,34,53,1,1,7,0,0,0,0,13,0,4,0,8,40,5,10,1,29,1,1,0,100,2.558611111,Any,
Nazim,Azman,M,,,,Malaysia,17/08/1995,42,0,0,64,,,,,,,,,0,6.5,6.5,6.5,6.5,7,5,7,5.5,6.75,0.9,19,56,,,,,,,,,,,10,85,80,25,3,82,98,87,1,1,1,1,0,2,0,0,0,3,5,5,45,5,5,1,33,1,1,0,100,1.590277778,EnduranceSeries; SingleSeaterSeries,
Josef,Newgarden,M,32,Equal,,UnitedStates,11/10/1984,7; 16; 65; 152,0,0,67,2.81,2019,2011,25,1,0.1,1,0,0,18.5,18,18,19,18.5,13.5,18.5,15,18.5,0.85,16,,,,,,,,,,,,60,95,75,15,3,,,,2,3,8,0,0,1,0,14,0,10,5,10,80,5,8,2,30,1,10,100,100,4.375,GTSeries,
Scott,McLaughlin,M,32,Equal,,NewZealand,10/06/1987,42,0,0,72,2.78,2018,2015,0,,0,,0,0,13,13,12.75,11.5,13.75,13,12.75,16.5,13.75,0.49,87,,,,,,,,,,,,55,95,90,5,4,,,,2,1,5,0,0,0,0,12,0,4,2,0,55,5,5,3,30,1,7,100,100,3.333333333,GTSeries; EnduranceSeries,
Will,Power,M,32,Reserve,,Australia,23/12/1975,7; 42; 67; 152,0,0,73,0.87,2018,2010,0,,0,,0,0,13,13,13.5,11.5,13.5,12,12.5,19.75,14,0.5,16,,,,,,,,,,,,98,90,75,5,4,,,,2,6,7,1,0,0,0,8,0,10,6,9,70,5,5,3,36,1,4,0,100,3.409722222,GTSeries,
Simon,Pagenaud,M,33,Equal,,France,13/02/1978,7; 16; 44; 152; 216,0,0,72,2.36,2019,2016,25,3,0.15,1,0,0,13.5,13.5,13.5,12.5,14.5,11.5,11.5,18.5,13.5,0.49,87,,,,,,,,,,,,95,95,90,5,4,,,,2,1,5,0,0,0,0,12,0,4,2,0,70,5,5,2,35,1,7,100,100,3.402777778,GTSeries; EnduranceSeries,
Helio,Castroneves,M,33,Equal,,Brazil,10/05/1969,16; 67,0,0,74,2.49,2018,2016,0,,0,,0,0,11.75,11.75,11.5,10.5,13.5,11,11,19.75,13.5,0.5,16,,,,,,,,,,,,98,90,75,5,4,,,,2,6,7,1,0,0,0,8,0,10,6,9,70,5,5,2,40,1,4,0,100,3.173611111,GTSeries,
Conor,Daly,M,33,Reserve,,UnitedStates,05/12/1985,7; 16; 40; 42,0,0,69,0.67,2018,2016,0,,0,,0,0,10,10,10,10,10.5,9,11.5,12.5,10.5,0.47,43,,,,,,,,,,,,50,85,85,5,3,,,,0,4,9,0,0,0,0,0,0,5,4,2,45,5,5,1,30,1,3,0,100,2.611111111,GTSeries,
Scott,Dixon,M,34,Equal,,NewZealand,16/10/1974,7; 16; 22; 34; 44; 67,0,0,70,3.55,2019,2007,25,1,0.1,1,0,0,18.5,19,19.5,16.5,19.8,16,13,19.8,17,0.73,16,,,,,,,,,,,,98,95,95,5,4,,,,2,5,0,0,0,5,0,14,0,0,2,3,85,5,5,6,29,4,20,200,200,4.419444444,GTSeries,
Alex,Palou,M,34,Equal,,Spain,01/04/1991,5; 16; 42; 65; 300,0,0,66,2.78,2019,2015,0,,0,,0,0,15.25,15.25,15,15.75,16.5,14.5,17.35,13,15,0.76,24,39,,,,,,,,,,,45,90,85,25,4,86,35,49,2,1,2,4,0,0,0,12,0,8,8,8,70,5,5,3,36,1,1,0,100,3.822222222,GTSeries,
Tony,Kanaan,M,34,Reserve,,Brazil,26/08/1969,7; 67,0,0,74,0.95,2018,2016,0,,0,,0,0,11.5,12,13,10,13,10,10,19.5,11.5,0.83,16,,,,,,,,,,,,99,90,90,5,5,,,,1,6,0,0,0,2,0,16,0,10,9,9,70,5,5,2,33,1,1,0,100,3.069444444,GTSeries,
Marcus,Ericsson,M,35,Equal,,Sweden,13/01/1984,16; 42,0,0,68,2.53,2018,2014,25,3,75,3,0,0,14.5,14.5,14.25,12.75,14.75,15,15.5,15,15,0.46,16,,,,,,,,,,,,70,80,75,5,4,,,,0,3,5,0,0,5,0,11,0,1,8,10,70,5,5,3,29,1,1,0,100,3.645833333,GTSeries; EnduranceSeries,
Jimmy,Johnson,M,35,Equal,,UnitedStates,17/09/1969,42,0,0,75,1.67,2018,2015,25,3,0.15,1,0,0,13,13,13,11.5,13.5,9.5,11,16.5,13.25,0.66,16,,,,,,,,,,,,90,90,95,5,4,,,,1,6,4,0,0,0,0,6,0,5,4,5,78,5,5,2,32,1,2,100,100,3.173611111,GTSeries,
Santino,Ferucci,M,35,Reserve,,UnitedStates,24/08/1991,286,0,0,65,0.28,2018,2016,0,,0,,0,0,10,10,10,10,10,10,12.5,9,10,0.83,16,,,,,,,,,,,,30,70,70,15,3,,,,1,6,0,0,0,2,0,16,0,10,9,9,45,5,5,4,30,1,1,0,100,2.541666667,GTSeries,
Alexander,Rossi,M,36,Equal,,UnitedStates,25/03/1986,16; 42,0,0,69,3.5,2018,2016,25,1,0.1,1,0,0,14.5,14.5,14.5,13.75,14,12.5,15,17,14.5,0.92,16,,,,,,,,,,,,75,90,65,5,3,,,,2,3,4,1,0,0,0,4,0,6,10,8,75,5,5,3,32,1,2,100,100,3.618055556,GTSeries,
James,Hinchcliffe,M,36,Reserve,,Canada,19/03/1981,7; 42,0,0,71,1.15,2018,2016,0,,0,,0,0,10,10,10,9,10.5,8.75,10.5,14.5,10,0.62,16,,,,,,,,,,,,75,80,75,5,3,,,,1,3,8,0,0,1,0,1,0,3,2,3,50,5,5,1,34,1,3,0,100,2.590277778,GTSeries,
Colton,Herta,M,36,Equal,,UnitedStates,30/03/1994,5; 16; 65,0,0,66,0.82,2020,2014,0,,0,,0,0,15.5,15.5,15,18.5,14.85,12.75,18,12.5,17.5,0.46,35,,,,,,,,,,,,38,95,74,55,4,,,,2,4,6,0,0,0,0,4,0,10,1,1,77,5,10,3,30,1,2,0,100,3.891666667,GTSeries,
Romain,Grosjean,M,37,One,,France,17/04/1980,7; 16; 65; 216; 295,0,0,69,3,2019,2016,0,,0,,0,0,15.5,15.5,15,15,14.5,15,13.25,19.75,14.75,0.73,16,,,,,,,,,,,,98,90,80,2,4,,,,1,2,7,0,0,0,0,10,0,2,5,0,78,5,5,5,32,1,2,0,100,3.840277778,GTSeries; EnduranceSeries,
Devlin,DeFrancesco,M,37,Two,,Canada,17/01/1994,16; 216,0,0,66,3.18,2017,2016,0,,0,,0,0,7,7,6.5,6.5,7.25,6,7.5,6.5,6.75,0.56,16,,,,,,,,,,,,20,90,65,35,3,,,,2,5,8,0,0,4,0,11,0,5,8,8,40,5,5,3,32,1,1,100,100,1.694444444,GTSeries,
Stefan,Wilson,M,37,Reserve,,UK,15/08/1984,7; 42,0,0,72,0.99,2017,2016,0,,0,,0,0,8.5,8.5,8,7.5,10,7.5,10,11.5,8,0.42,16,,,,,,,,,,,,35,90,75,5,4,,,,2,5,3,0,0,0,0,15,0,9,6,0,35,5,5,2,31,1,4,0,100,2.208333333,GTSeries,
Graham,Rahal,M,38,Equal,,UnitedStates,18/11/1984,7; 40; 42,0,0,72,2.56,2022,2015,25,1,75,1,0,0,14.5,14.5,14.5,13,14.5,10.5,12,18.5,14.5,0.43,16,,,,,,,,,,,,90,95,80,5,5,,,,1,3,2,1,0,8,0,3,0,9,0,6,75,5,5,3,32,1,2,100,100,3.513888889,GTSeries,
Christian,Lundgaard,M,38,Equal,,Denmark,23/07/1995,16; 42; 109,0,0,65,1.22,2019,2016,0,,0,,0,2,11.5,11.5,11.5,12.5,12,11.5,13.5,10.5,12.5,0.41,53,49,,,,,,,,,,,30,95,75,35,4,80,50,70,2,2,2,0,0,0,0,15,0,3,9,6,60,5,8,3,27,1,1,0,100,2.972222222,SingleSeaterSeries; GTSeries,
Jack,Harvey,M,38,Reserve,,UK,15/04/1987,42,0,0,70,0.76,2018,2016,0,,0,,0,0,11,11.5,11.5,10.5,12,9.5,12,12.5,11,0.71,42,,,,,,,,,,,,50,85,90,5,4,,,,3,0,7,0,0,0,0,17,0,1,0,7,50,5,5,4,29,1,4,0,100,2.819444444,GTSeries,
Pato,O'Ward,M,39,Equal,,Mexico,06/05/1993,5; 16; 65,0,0,66,2.89,2019,2014,25,1,75,3,0,0,15,15,14.5,16.5,14.5,13.5,18,13,15.5,0.63,16,,,,,,,,,,,,40,95,80,25,4,,,,1,3,8,0,0,8,0,15,0,6,2,6,75,5,8,1,32,1,5,0,100,3.763888889,GTSeries,
Felix,Rosenqvist,M,39,Equal,,Sweden,31/05/1985,16; 42,0,0,69,3,2018,2015,25,3,0.05,3,0,0,13.5,13.5,14,12.5,14.5,13,15.5,15.5,14.5,0.66,16,,,,,,,,,,,,70,90,95,5,4,,,,1,6,4,0,0,0,0,6,0,5,4,5,65,5,5,6,29,1,2,100,100,3.513888889,GTSeries; EnduranceSeries,
Toby,Sowery,M,39,Reserve,,UK,30/06/1990,16,0,0,67,0.69,2019,2016,0,,0,,0,0,9,9,9,9,9,9,9,8,9,0.66,53,,,,,,,,,,,,25,60,50,10,3,,,,0,3,8,1,0,8,0,7,0,1,7,1,40,5,5,4,33,1,1,0,100,2.222222222,GTSeries,
Takuma,Sato,M,40,Equal,,Japan,21/05/1972,7; 16; 67; 216,0,0,70,3.94,2018,2016,25,3,75,3,0,0,13.5,13.5,13,11.5,13.5,12.5,11,19.5,13,0.53,16,,,,,,,,,,,,98,90,85,5,3,,,,2,1,9,0,0,0,0,15,0,10,10,5,80,5,5,3,37,1,3,0,100,3.361111111,GTSeries; EnduranceSeries,
David,Malukas,M,40,Equal,,UnitedStates,27/09/1995,16; 165; 216; 309,0,0,64,2.08,2018,2016,0,,0,,0,2,8.5,8.5,8.5,8.5,7.75,8.5,11,7,9,0.46,16,,,,,,,,,,,,8,90,80,55,3,,,,0,2,4,0,0,0,0,7,0,1,5,5,45,5,5,2,31,1,1,0,100,2.145833333,GTSeries,
Sage,Karam,M,40,Reserve,,UnitedStates,05/03/1989,7; 16; 41,0,0,69,0.89,2018,2016,0,,0,,0,0,9.5,9.5,9,9.5,9,8,12,11,11,0.81,16,,,,,,,,,,,,35,70,60,5,3,,,,1,3,8,0,0,0,0,8,0,9,7,3,40,5,5,3,34,1,1,0,100,2.458333333,GTSeries,
Kyle,Kirkwood,M,41,Equal,,UnitedStates,19/10/1992,7; 216; 301,0,0,66,2.25,2018,2016,0,,0,,0,0,10.5,10.5,9.5,11,10.5,8.5,11.7,8.5,10.5,0.78,16,,,,,,,,,,,,10,80,80,75,4,,,,2,4,5,0,0,0,0,13,0,9,10,4,55,5,15,3,29,1,1,0,100,2.533333333,GTSeries,
Dalton,Kellett,M,41,Equal,,Canada,19/08/1987,165,0,0,69,1.74,2018,2015,0,,0,,0,1,9,9,8.5,9,8.5,7.5,10.5,8.5,9.5,0.42,16,,,,,,,,,,,,25,75,80,10,3,,,,3,4,7,0,0,4,0,2,0,7,3,7,40,5,5,3,29,1,1,0,100,2.222222222,GTSeries,
Tatiana,Calderon,F,41,Reserve,,Colombia,10/03/1987,16; 216,0,0,60,0.86,2017,2016,0,,0,,0,0,7.5,7.5,7.5,7,8,6.5,9.5,10.5,8.5,0.42,16,,,,,,,,,,,,35,75,80,5,4,,,,3,4,7,0,0,4,0,2,0,7,3,7,55,5,5,3,28,1,1,0,100,2.013888889,GTSeries; EnduranceSeries,
Callum,Ilott,M,42,Equal,,UK,11/11/1992,16; 42; 65; 100; 216,0,0,65,1.97,2018,2016,0,,0,,0,0,12.75,12.75,13,13.25,13.5,12.5,16,12,13.75,0.75,45,4,,,,,,,,,,,35,95,75,45,4,66,63,53,2,5,2,0,0,0,0,16,0,6,7,7,70,5,10,1,30,1,1,0,100,3.319444444,Any,
Ed,Jones,M,42,Equal,,UnitedArabEmirates,12/02/1989,16,0,0,69,2.08,2017,2016,0,,0,,0,0,10,10,10,9,11,9,12,12.5,10,0.71,16,,,,,,,,,,,,45,80,70,5,3,,,,0,5,7,1,0,0,0,8,0,4,9,9,35,5,5,2,32,1,3,0,100,2.597222222,GTSeries; EnduranceSeries,
RC,Enerson,M,42,Reserve,,UnitedStates,06/03/1991,165,0,0,66,0.79,2018,2016,0,,0,,0,1,8,8,7.5,8.5,8,7.5,19,6,10,0.42,16,,,,,,,,,,,,20,80,80,5,3,,,,3,4,7,0,0,4,0,2,0,7,3,7,35,5,5,4,30,1,1,0,100,2.291666667,GTSeries,
Rinus,van Kalmthout,M,43,Equal,,Netherlands,11/09/1994,16,0,0,65,2.42,2018,2014,0,,0,,0,0,12.5,12.5,12,12.75,12,12.5,14,11,12.25,0.73,58,75,,,,,,,,,,,25,90,75,35,3,64,43,62,1,1,4,0,0,0,0,13,0,7,6,4,50,5,5,3,35,1,1,0,100,3.097222222,GTSeries; EnduranceSeries,
Ed,Carpenter,M,43,Equal,,UnitedStates,16/04/1976,7; 16; 42; 67; 261,0,0,72,3.75,2019,2012,0,,0,,0,0,11,11,12,12,13,8.5,10,18.5,11.5,0.9,16,,,,,,,,,,,,95,95,90,5,5,,,,0,1,7,1,0,1,0,4,0,10,2,6,50,5,5,3,30,1,5,0,100,2.986111111,GTSeries,
Spencer,Pigot,M,43,Reserve,,UnitedStates,24/09/1988,42,0,0,68,0.32,2018,2016,0,,0,,0,0,10,10,10,9.5,10.5,9,11,11.5,10,0.83,58,,,,,,,,,,,,35,60,70,5,4,,,,1,0,6,0,0,3,0,12,0,5,3,9,40,5,5,2,32,1,1,0,100,2.541666667,GTSeries; EnduranceSeries,
Christian,Rasmussen,M,44,Equal,,Denmark,29/07/1994,65,0,0,66,0.95,2018,2016,0,,0,,0,0,7.5,7.5,7,8,8.5,6.5,10,7.5,8,0.78,16,,,,,,,,,,,,10,80,80,45,4,,,,2,4,5,0,0,0,0,13,0,9,10,4,50,5,5,2,32,1,1,0,100,1.958333333,GTSeries; EnduranceSeries,
Robert,Megennis,M,44,Equal,,UnitedStates,05/03/1994,16,0,0,64,0.84,2019,2016,0,,0,,0,0,7,7,7.5,8,7.5,6,9,6.5,7,0.4,16,,,,,,,,,,,,10,75,70,25,4,,,,0,6,9,1,0,0,0,5,0,3,7,5,60,5,5,3,30,1,1,0,100,1.819444444,GTSeries; EnduranceSeries,
Kiko,Porto,M,44,Reserve,,Brazil,28/08/1997,65,0,0,64,0.29,2018,2016,0,,0,,0,0,8,8,8,9.5,8.5,7,10,6,9,0.88,16,,,,,,,,,,,,5,80,80,75,3,,,,1,6,4,0,0,0,0,6,0,5,4,5,55,5,5,2,30,1,1,0,100,2.055555556,GTSeries; EnduranceSeries,
Hunter,McElrea,M,45,Equal,,NewZealand,21/11/1993,65,0,0,64,0.96,2018,2016,0,,0,,0,0,8,8,8,9.5,8.5,7,10,6,9,0.88,16,,,,,,,,,,,,5,80,80,75,3,,,,1,6,4,0,0,0,0,6,0,5,4,5,55,5,5,4,31,1,1,0,100,2.055555556,GTSeries; EnduranceSeries,
Danial,Frost,M,48,Equal,,Singapore,18/10/1995,165,0,0,63,0.54,2017,2016,0,,0,,0,1,6.5,6,6,6.5,6,6,7.5,5,6.5,0.93,16,,,,,,,,,,,,5,95,90,35,5,,,,0,4,6,0,0,0,0,16,0,7,5,0,50,5,5,1,27,1,1,0,100,1.555555556,GTSeries; EnduranceSeries,
Rasmus,Lindh,M,49,Equal,,Sweden,06/07/1995,42,0,0,65,0.18,2017,2016,0,,0,,0,0,8.5,8.5,7,9,8,8,9,8,7.5,0.56,16,,,,,,,,,,,,5,90,80,35,3,,,,5,4,11,0,0,7,0,14,0,9,60,7,50,5,10,2,32,1,1,0,100,2.041666667,GTSeries; EnduranceSeries,
Linus,Lundqvist,M,48,Equal,,Sweden,27/11/1993,5; 16; 65,0,0,63,0.96,2017,2016,0,,0,,0,0,8.5,8.5,8.5,9,9.15,8.5,10,7.5,9,0.72,48,69,,,,,,,,,,,15,80,85,50,4,75,10,76,5,3,8,0,0,0,0,17,0,4,7,0,45,5,5,2,31,1,1,0,100,2.184722222,GTSeries; SingleSeaterSeries,
Christian,Bogle,M,45,Reserve,,UnitedStates,06/03/1995,42,0,0,70,0.89,2017,2016,0,,0,,0,0,9,9,9,9,9,9,10,8.5,9,0.66,53,,,,,,,,,,,,15,60,50,15,3,,,,0,3,8,1,0,8,0,7,0,1,7,1,50,5,5,1,30,1,1,0,100,2.263888889,EnduranceSeries; GTSeries,
Kyffin,Simpson,M,50,Equal,,UnitedStates,21/05/1988,231,0,0,60,0.28,2018,2016,0,,0,,0,0,5.5,5,5,5.5,6,5,5,4,6,0.42,16,,,,,,,,,,,,5,75,80,75,3,,,,1,2,7,0,0,0,0,0,0,5,6,9,20,5,5,2,36,1,1,0,100,1.305555556,GTSeries,
Nikita,Lastochkin,M,48,Reserve,,RussianFederation,05/05/1984,165,0,0,69,0.89,2018,2016,0,,0,,0,0,6,6,6,5.5,6.25,6,7.5,6.5,6,0.85,16,,,,,,,,,,,,20,70,80,5,3,,,,0,2,0,0,0,5,0,3,0,0,5,6,25,5,5,3,32,1,1,0,100,1.548611111,GTSeries; EnduranceSeries,
Sting Ray,Robb,M,45,Equal,,UnitedStates,03/09/1995,65,0,0,64,0.67,2018,2016,0,,0,,0,0,8.5,8.5,8,9,8.5,6.5,9.5,6,8.5,0.65,16,,,,,,,,,,,,5,75,80,50,4,,,,0,3,1,2,1,2,0,4,0,0,9,6,55,5,5,4,26,1,1,0,100,2.027777778,GTSeries,
Artem,Petrov,M,50,Equal,,RussianFederation,04/01/1994,165,0,0,65,0.13,2017,2016,0,,0,,0,2,7.5,7.5,7.5,7,8,7.5,9,6.5,7.5,0.64,16,,,,,,,,,,,,10,90,80,35,4,,,,4,2,6,0,0,0,0,4,0,3,4,8,45,5,5,4,25,1,1,0,100,1.888888889,EnduranceSeries; GTSeries,
Benjamin,Pedersen,M,46,Equal,,Denmark,05/11/1993,5,0,0,64,1.08,2017,2016,0,,0,,0,0,7.5,7.5,7,8,8.5,7.5,8.5,6,8,0.91,16,,,,,,,,,,,,5,90,80,60,4,,,,4,5,7,0,0,6,0,6,0,0,6,2,65,5,5,3,29,1,1,100,100,1.902777778,GTSeries,
Wyatt,Brichacek,M,46,Reserve,,UnitedStates,27/09/1995,165,0,0,64,0.92,2019,2016,0,,0,,0,2,7,7,7,8,7,8,9,6,7,0.46,16,,,,,,,,,,,,5,90,80,35,5,,,,0,2,4,0,0,0,0,7,0,1,5,5,60,5,5,3,32,1,1,0,100,1.833333333,GTSeries,
Parker,Thompson,M,49,Reserve,,Canada,02/03/1992,16,0,0,64,0.26,2017,2016,0,,0,,0,0,8,8,8,8,8,6,8,6,9,0.49,16,,,,,,,,,,,,5,90,80,55,3,,,,2,5,4,1,0,0,0,12,0,8,3,9,55,5,5,4,28,1,1,0,100,1.916666667,GTSeries,
