First Name,Last Name,Gender,Team,Nationality,DOB,Engine,Gearbox,Brakes,Front Wing,Rear Wing,Suspension,Known Components,Wages,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Irina,Amorim,F,,Brazil,9/10/1961,7,19,5,9,20,13,86;85;37;101;90,,,,5,5,1,9,0,0,0,38,67,59,2,0,0,0,0,0,0,0,0,0,2.53
Nicolás,Mina,M,,Spain,3/12/1984,13,13,11,9,17,8,86;85;46;101;90,,,,4,3,2,7,0,0,5,32,74,50,4,0,0,0,0,0,0,0,0,0,2.84
Luís,Nascimento,M,,Brazil,19/10/1976,14,17,11,12,12,15,86;46;44,,,,2,1,9,4,0,0,0,36,31,51,5,0,0,0,0,0,0,0,0,0,2.54
Peng,Huo,M,,China,2/6/1979,5,12,10,14,20,5,86;85;47;90,,,,2,1,11,7,0,0,4,10,44,50,2,0,0,0,0,0,0,0,0,0,3.465
Evelynn,Dale,F,,Australia,22/11/1969,10,10,5,6,20,15,86;46;45;90,,,,3,2,3,9,0,0,7,35,55,59,1,0,0,0,0,0,0,0,0,0,2.67
Freddy,Hendrix,M,,UnitedStates,12/7/1969,12,19,17,8,6,11,86;46;;90,,,,2,1,1,6,0,0,0,35,47,59,4,0,0,0,0,0,0,0,0,0,3.96
Willy,Krebs,M,,Germany,6/11/1979,12,10,19,9,7,18,86;46;101;90,,,,5,3,10,7,0,0,6,38,27,60,1,0,0,0,0,0,0,0,0,0,2.97
Zehra,Lipovšek,F,,Slovenia,24/9/1985,18,16,19,9,9,0,86;47;101;44,,,,3,2,4,9,0,0,8,32,60,53,3,0,0,0,0,0,0,0,0,0,2.035
Altea,Stanzione,F,,Italy,15/10/1983,0,15,14,7,14,13,86;85;47;90,,,,3,2,1,0,0,0,0,12,43,53,2,0,0,0,0,0,0,0,0,0,3.925
Gianpietro,Trupiano,M,,Italy,14/4/1973,0,13,10,19,10,15,86;85;37;101;90,,,,2,3,3,9,0,0,0,12,70,58,1,0,0,0,0,0,0,0,0,0,2.985
Adrian,Rosenquist,M,,Sweden,18/8/1970,8,1,8,18,20,9,86;85;46;101;44,,,,5,0,3,5,0,0,2,36,33,52,4,0,0,0,0,0,0,0,0,0,3.095
Brooke,Saunders,F,,UK,12/10/1977,8,3,4,9,3,3,86;85;47;45;90,,,,3,1,1,9,0,0,0,7,67,50,5,0,0,0,0,0,0,0,0,0,3.255
Emma,Miralles,F,,Spain,4/10/1986,2,19,7,17,0,20,86;47;44,,,,5,3,9,8,0,0,0,17,29,60,3,0,0,0,0,0,0,0,0,0,1.94
Georgette,Dufour,F,,France,19/3/1972,11,7,4,12,10,16,86;47;101;90,,,,5,3,8,9,0,0,2,7,21,52,1,0,0,0,0,0,0,0,0,0,3.06
Ra,Young-Ho,M,,SouthKorea,20/7/1965,0,18,16,15,5,13,86;85;46;90,,,,2,1,9,6,0,0,0,6,67,53,5,0,0,0,0,0,0,0,0,0,2.225
Alena,Grove,F,,UnitedStates,3/3/1971,15,5,1,5,9,8,86;85;37;90,,,,2,5,4,9,0,0,0,36,72,54,3,0,0,0,0,0,0,0,0,0,1.85
Yokouchi,Shuko,F,,Japan,2/6/1978,10,7,17,17,16,2,86;85;37;101;90,,,,2,0,6,8,0,0,3,28,64,50,4,0,0,0,0,0,0,0,0,0,2.65
Magdalena,Buhler,F,,Germany,29/3/1965,10,8,6,11,1,16,86;85;47;44,,,,2,2,11,5,0,0,10,14,21,51,2,0,0,0,0,0,0,0,0,0,2.41
Elsha,Dorfmann,F,,Germany,24/2/1965,11,7,5,9,10,1,86;85;37;90,,,,5,0,9,11,2,0,0,40,48,59,2,0,0,0,0,0,0,0,0,0,2.89
Wu,Hyonu,F,,SouthKorea,26/2/1984,10,10,13,8,0,5,86;;47;101;90,,,,2,0,0,8,0,0,5,37,42,54,1,0,0,0,0,0,0,0,0,0,2.55
Emma,Capmany,F,,Spain,15/7/1967,2,3,13,6,18,10,86;85;46;45;90,,,,3,1,7,8,0,0,5,40,38,52,4,0,0,0,0,0,0,0,0,0,2.15
Mart,Ordelman,M,,Netherlands,15/3/1961,20,1,7,8,3,8,86;85;47;101;44,,,,2,5,8,9,0,0,5,20,75,53,5,0,0,0,0,0,0,0,0,0,2.355
Samu,Partanen,M,,Finland,30/7/1976,20,10,20,10,5,14,86;85;47;101;90,,,,5,2,11,2,0,0,0,9,49,56,4,0,0,0,0,0,0,0,0,0,3.08
Romane,Lacan,F,,France,4/6/1985,12,17,19,20,0,14,86;85;46;90,,,,3,5,11,9,0,0,0,12,34,59,4,0,0,0,0,0,0,0,0,0,2.36
Kolesov,Dmitrievich,M,,RussianFederation,15/3/1981,3,2,12,9,9,3,65,,,,3,0,8,2,0,0,3,32,20,57,1,0,0,0,0,0,0,0,0,0,2.485
Airi,Anttila,F,,Finland,15/4/1985,20,19,0,3,0,19,33;42,,,,2,0,9,0,2,0,8,12,67,58,2,0,0,0,0,0,0,0,0,0,1.595
Chen,Bo,F,,China,5/11/1978,4,11,6,7,20,8,38;43,,,,4,1,6,6,0,0,0,18,22,60,4,0,0,0,0,0,0,0,0,0,2.19
Jacob,Simpson,M,,UnitedStates,16/12/1964,19,14,19,10,9,16,40,,,,3,2,8,11,0,0,7,9,43,59,5,0,0,0,0,0,0,0,0,0,2.35
Johannes,Moldenhauer,M,,Germany,7/2/1983,4,7,11,12,8,18,36;71;42,,,,2,3,4,8,0,0,9,10,28,59,4,0,0,0,0,0,0,0,0,0,2.815
Xing,Yahui,F,,China,17/2/1981,4,16,8,19,19,1,80;41,,,,4,0,3,7,0,0,0,24,38,57,1,0,0,0,0,0,0,0,0,0,2.27
Amaury,Allemand,M,,France,15/6/1967,5,7,13,14,9,9,80;46;41,,,,3,3,1,6,0,0,4,25,33,55,1,0,0,0,0,0,0,0,0,0,2.345
Ines,Cortés,F,,Spain,20/3/1969,17,11,8,2,18,5,47,,,,2,3,6,6,0,0,0,13,45,55,3,0,0,0,0,0,0,0,0,0,3.04
Bella,Ferrant,F,,Spain,3/4/1982,20,18,16,12,8,9,86;44,,,,4,3,2,9,1,0,6,37,67,60,5,0,0,0,0,0,0,0,0,0,2.595
Eloise,Barker,F,,UK,26/2/1964,9,7,11,4,15,0,84;67;42,,,,3,0,5,5,2,0,7,26,24,54,3,0,0,0,0,0,0,0,0,0,2.685
Gaël,Halphen,M,,France,16/4/1973,18,9,19,17,1,20,35,,,,2,4,8,9,0,0,3,24,70,60,5,0,0,0,0,0,0,0,0,0,3.415
Wang,Ru,M,,China,28/1/1974,10,7,8,17,2,0,84;32;45,,,,2,0,2,7,0,0,0,7,37,55,3,0,0,0,0,0,0,0,0,0,3.075
Jonathan,Young,M,,Australia,19/8/1976,3,7,17,19,15,1,46,,,,3,2,4,3,0,0,2,35,73,56,1,0,0,0,0,0,0,0,0,0,3.005
Doris,Boosalis,F,,Greece,11/1/1964,18,0,18,20,13,0,47;41,,,,4,2,4,6,2,0,9,40,57,57,2,0,0,0,0,0,0,0,0,0,3.365
Chris,Watson,M,,Australia,9/2/1966,16,14,5,7,2,12,86;34;37;42,,,,3,1,7,11,2,0,0,10,80,58,2,0,0,0,0,0,0,0,0,0,2.595
Varela,Dita,F,,Argentina,6/7/1978,5,8,0,2,1,12,29;48;44,,,,3,2,8,1,0,0,1,36,74,54,1,0,0,0,0,0,0,0,0,0,2.815
David,Sanchez,M,6,France,10/04/1973,16.5,17.5,17.5,18.5,18.5,18.5,35;32;45;40,5.88,2016,2019,4,2,4,9,0,0,11,14,48,55,5,141,40,68,45,21,10,0,1658,4,3.375
