Name,Nationality,Logo Index,Category,Prestige,Slot Sponsoring,Team sponsoring,Upfront Value,HomeBonus Value,Bonus Difficulty,Bonus Target,Bonus Amount,Per Race Payment,Deal Length,DealTotal,DealValue,Offer Timer,Offer Cooldown,Starting Cooldown,Days After,Available in,Liaison First Name,Liaison Last Name,Gender,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair
Verizon,UnitedStates,337,Telecoms,3,3,,0,0,,,,0.134,7,0.94,0.134,1,39,64,0,64,Miles,Jacobsen,M,2,6,7,0,0,0
United Rentals,UnitedStates,406,Automotive,2,2,,0,0,,,,0.082,3,0.25,0.083,1,38,18,0,18,James,Freeman,M,4,2,7,0,0,0
HP Tuners,UK,228,Oil,2,5,,0,0,,,,0.165,20,3.3,0.165,1,22,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Red Bull,Austria,268,Alcoholic Drinks,2,4,,0,0,,,,0.141,11,1.55,0.141,1,26,0,0,0,Dietrich,Mateschitz,M,0,5,6,0,0,0
WithU,France,319,Oil,1,3,,0,0,5,1,0.687,,9,6.18,0.687,1,9,11,0,11,James,Freeman,M,0,5,6,0,0,0
Motul,France,426,Oil,4,2,,0,0,,,,0.477,7,3.34,0.477,1,56,36,0,36,Lana,Castle,F,4,5,7,0,0,0
DV,Germany,113,Banking,4,2,,0,0,,,,0.479,7,3.35,0.479,1,8,92,0,92,James,Freeman,M,4,2,7,0,0,0
Gallacher,UK,413,Technology,1,1,,0,0,,,,0.030,2,0.06,0.03,1,17,5,0,5,James,Freeman,M,4,2,7,0,0,0
AlphaTauri,Italy,37,Clothing,2,6,,7.564,0,,,,0.431,195,91.61,0.47,1,40,36,0,36,Dietrich,Mateschitz,M,2,4,5,0,0,0
UralKali,RussianFederation,237,Technology,1,4,,0,0,,,,0.057,7,0.4,0.057,1,3,0,0,0,Adolfo,Kortregt,M,1,7,5,0,0,0
Europol,Poland,450,Telecoms,2,2,,0,0,,,,0.103,7,0.72,0.103,1,38,28,0,28,Kyle,Malier,M,1,5,9,1,0,0
AlphaTauri,Austria,206,Alcoholic Drinks,3,4,,1.126,0,,,,0.193,5,2.09,0.418,1,18,0,0,0,Dietrich,Mateschitz,M,1,6,8,1,0,0
Wynn's,Germany,51,Automotive,5,1,,0.021,0,4,2,0.324,,3,0.99,0.33,1,20,71,0,71,Nathen,Bourdeau,M,1,3,6,0,0,0
Richard Mille,Switzerland,365,Clothing,2,6,,0,0,,,,0.172,66,11.35,0.172,1,16,31,0,31,Kyle,Malier,M,1,5,9,1,0,0
Coca Cola,UnitedStates,334,Alcoholic Drinks,2,2,,0,0,,,,0.103,6,0.62,0.103,1,6,28,0,28,James,Freeman,M,0,5,6,0,0,0
Huski Chocolate,Sweden,440,Food,2,2,,0,0,,,,0.160,5,0.8,0.16,1,4,12,0,12,Kyle,Malier,M,1,5,9,1,0,0
Mission Winnow,UnitedStates,421,Charity,5,6,,85.839,0,,,,1.115,125,225.21,1.802,1,100,16,0,16,James,Freeman,M,0,5,6,0,0,0
Rizoma,Italy,305,Automotive,1,3,,0,0,,,,0.071,9,0.64,0.071,1,2,14,0,14,James,Freeman,M,0,5,6,0,0,0
Vantelin,Japan,246,Appliances,2,4,,0.794,0,,,,0.150,15,3.04,0.203,1,30,19,0,19,Aguri,Suzuki,M,0,5,6,0,0,0
United Rentals,UnitedStates,104,Automotive,3,5,,0.213,0,,,,0.217,25,5.64,0.226,1,54,0,0,0,James,Freeman,M,4,2,7,0,0,0
Docomo,Japan,251,Telecoms,5,2,,0.174,0,,,,0.525,4,2.27,0.568,1,40,104,0,104,James,Freeman,M,4,2,7,0,0,0
Direct Supply,UnitedStates,90,Telecoms,2,4,,0,0,,,,0.100,7,0.7,0.1,1,36,16,0,16,James,Freeman,M,4,2,7,0,0,0
Blue Def,UnitedStates,204,Oil,2,3,,0,0,,,,0.080,6,0.48,0.08,1,20,40,0,40,Kal,Mahmood,M,5,4,7,0,0,0
Reale Seguros,Spain,324,Appliances,2,4,,0,0,,,,0.224,7,1.57,0.224,1,28,0,0,0,James,Freeman,M,0,5,6,0,0,0
Orlen,Poland,347,Oil,2,6,,0,0,,,,0.482,26,12.53,0.482,1,26,48,0,48,Daniel,Obajtek,M,4,2,7,0,0,0
Vincolores,Spain,384,Appliances,2,2,,0,0,,,,0.171,6,1.03,0.172,1,4,39,0,39,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Trident,Italy,231,Automotive,3,3,,0,0,,,,0.167,10,1.67,0.167,1,12,10,0,10,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Goodyear,UnitedStates,361,Automotive,1,1,,0,0,,,,0.043,2,0.09,0.045,1,6,7,0,7,James,Freeman,M,0,5,6,0,0,0
Motul,France,427,Oil,2,6,,4.160,0,,,,0.360,176,67.52,0.384,1,24,22,0,22,Lana,Castle,F,4,5,7,0,0,0
Sonax,UnitedStates,411,Appliances,2,5,,0,0,,,,0.125,23,2.88,0.125,1,38,35,0,35,James,Freeman,M,4,2,7,0,0,0
Epson,Japan,275,Technology,3,3,,0.162,0,,,,0.204,9,2,0.222,1,15,35,0,35,James,Freeman,M,0,5,6,0,0,0
Motul,France,254,Oil,4,4,,0.048,0,,,,0.658,4,2.68,0.67,1,16,100,0,100,Lana,Castle,F,4,5,7,0,0,0
Cypress,UnitedStates,185,Technology,2,4,,0,0,,,,0.146,13,1.9,0.146,1,20,11,0,11,Adolfo,Kortregt,M,1,7,5,0,0,0
Alpine,France,200,Automotive,1,6,,0,0,,,,0.208,17,3.54,0.208,1,16,0,0,0,Thierry,Bollore,M,0,1,6,1,1,0
Tata,India,272,Automotive,1,1,,0,0,,,,0.029,3,0.09,0.03,1,4,0,0,0,James,Freeman,M,0,5,6,0,0,0
Michelin,France,170,Automotive,2,4,,0.001,0,,,,0.232,12,2.78,0.232,1,2,0,0,0,James,Freeman,M,4,2,7,0,0,0
Ajdini,Germany,389,Automotive,1,1,,0,0,,,,0.042,3,0.13,0.043,1,11,18,0,18,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Sagawa,Japan,178,Telecoms,5,1,,0.317,0.6,4,2,0.359,,2,1.03,0.515,1,40,0,0,0,Dieter,Zetsche,M,1,3,7,0,0,0
Firestone,UnitedStates,424,Automotive,2,2,,0,0,,,,0.096,7,0.67,0.096,1,10,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
PPG,UnitedStates,75,Technology,2,3,,0,0,,,,0.103,10,1.03,0.103,1,38,16,0,16,James,Freeman,M,4,2,7,0,0,0
NTT Data,Japan,253,Telecoms,2,5,,0,0,,,,0.120,13,1.56,0.12,1,36,39,0,39,James,Freeman,M,4,2,7,0,0,0
Envision,UK,175,Technology,3,3,,0.185,0,,,,0.128,7,1.08,0.154,1,42,69,0,69,Adolfo,Kortregt,M,1,7,5,0,0,0
Aero,UK,152,Appliances,2,3,,0,0,,,,0.123,9,1.11,0.123,1,4,49,0,49,Alan,Jope,M,1,2,2,1,0,0
Michelin,France,173,Automotive,3,3,,0.021,0,,,,0.220,9,2,0.222,1,30,0,0,0,James,Freeman,M,4,2,7,0,0,0
Armstrong's,NewZealand,430,Automotive,2,2,,0,0,,,,0.066,3,0.2,0.067,1,20,33,0,33,Lana,Castle,F,4,5,7,0,0,0
Europol,Poland,450,Telecoms,1,2,,0,0,,,,0.051,6,0.31,0.052,1,18,21,0,21,Kyle,Malier,M,1,5,9,1,0,0
Yokohama,Japan,265,Automotive,4,6,,1.337,0,,,,1.219,192,235.38,1.226,1,64,55,0,55,Lana,Castle,F,4,5,7,0,0,0
Mahle,Germany,4,Technology,1,5,,0,0,,,,0.073,12,0.88,0.073,1,9,0,0,0,Jorg,Stratmann,M,1,6,5,0,0,0
Porsche,Germany,134,Automotive,1,3,,0,0,2,8,0.143,,5,0.72,0.144,1,3,10,0,10,James,Freeman,M,4,2,7,0,0,0
Liqui Moly,Germany,13,Oil,3,3,,0,0,,,,0.130,8,1.04,0.13,1,9,57,0,57,Ernst,Prost,M,2,6,7,0,0,0
UralKali,RussianFederation,237,Technology,2,5,,0,0,,,,0.154,17,2.62,0.154,1,32,7,0,7,Adolfo,Kortregt,M,1,7,5,0,0,0
Threebond,Japan,263,Automotive,2,4,,0.001,0,,,,0.208,8,1.66,0.208,1,20,42,0,42,Lana,Castle,F,4,5,7,0,0,0
Flexbox,UnitedStates,360,Appliances,5,1,,0,0,4,6,0.267,,4,1.07,0.268,1,60,54,0,54,James,Freeman,M,0,5,6,0,0,0
Elf,France,315,Oil,4,4,,0,0,,,,0.317,8,2.54,0.318,1,76,0,0,0,James,Freeman,M,0,5,6,0,0,0
HP Tuners,UK,229,Oil,2,4,,0,0,,,,0.106,10,1.06,0.106,1,28,16,0,16,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Peugeot,France,353,Automotive,4,6,,0,0,,,,0.974,55,53.57,0.974,1,8,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Haas,UnitedStates,349,Technology,3,6,,63.414,0,,,,0.469,161,138.92,0.863,1,12,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
ROKit,UK,30,Telecoms,3,1,,0,0,,,,0.134,2,0.27,0.135,1,54,67,0,67,Jonathan,Kendrick,M,4,7,6,0,0,0
Mobil 1,UnitedStates,108,Oil,4,6,,3.074,0,,,,1.290,128,168.19,1.314,1,36,21,0,21,James,Freeman,M,4,2,7,0,0,0
Flex Box,UnitedStates,91,Technology,3,1,,0,0,,,,0.100,2,0.2,0.1,1,3,57,0,57,James,Freeman,M,4,2,7,0,0,0
Velo,UK,433,Alcoholic Drinks,3,4,,0,0,,,,0.365,10,3.65,0.365,1,39,62,0,62,Kyle,Malier,M,1,5,9,1,0,0
Mission Winnow,UnitedStates,421,Charity,3,5,,0,0,,,,0.343,12,4.12,0.343,1,36,0,0,0,James,Freeman,M,0,5,6,0,0,0
Richard Mille,Switzerland,114,Clothing,2,3,,0,0,,,,0.119,5,0.6,0.12,1,18,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
Sirius XM,UnitedStates,437,Media,1,5,,0.480,0.5,4,5,0.882,,10,9.3,0.93,1,17,7,0,7,Kyle,Malier,M,1,5,9,1,0,0
Energizer,UnitedStates,147,Appliances,3,5,,0.589,0,,,,0.221,9,2.58,0.287,1,33,6,0,6,James,Freeman,M,0,5,6,0,0,0
TAG Heuer,Switzerland,133,Clothing,1,6,,9.594,0,,,,0.206,141,38.64,0.274,1,10,14,0,14,James,Freeman,M,4,2,7,0,0,0
Vestas,Germany,179,Appliances,5,6,,0,0,,,,0.968,22,21.3,0.968,1,10,0,0,0,Dieter,Zetsche,M,1,3,7,0,0,0
Jumbo,Netherlands,158,Food,1,1,,0,0,,,,0.044,4,0.18,0.045,1,12,10,0,10,James,Freeman,M,4,2,7,0,0,0
BWT,Austria,28,Technology,1,4,,0,0,,,,0.085,6,0.51,0.085,1,7,8,0,8,Andreas,Weissenbacher,M,0,1,9,0,0,0
Gallacher,UK,412,Technology,4,1,,0,0,1,14,0.096,,4,0.38,0.095,1,72,20,0,20,James,Freeman,M,4,2,7,0,0,0
Simply Cola,Austria,314,Alcoholic Drinks,5,2,,0,0,,,,0.517,4,2.07,0.518,1,85,0,0,0,James,Freeman,M,0,5,6,0,0,0
Sky,UK,318,Media,1,3,,0.035,0,,,,0.061,7,0.46,0.066,1,12,0,0,0,James,Freeman,M,0,5,6,0,0,0
Casa Andrea,Italy,383,Alcoholic Drinks,1,2,,0.142,0,,,,0.060,5,0.44,0.088,1,11,12,0,12,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Tata,India,274,Automotive,3,5,,0.317,0,,,,0.349,25,9.04,0.362,1,24,0,0,0,James,Freeman,M,0,5,6,0,0,0
Verizon,UnitedStates,58,Telecoms,1,6,,0,0,,,,0.175,67,11.72,0.175,1,11,21,0,21,Miles,Jacobsen,M,2,6,7,0,0,0
Total,France,328,Oil,4,6,,27.386,0,,,,0.611,67,68.32,1.02,1,80,0,0,0,James,Freeman,M,0,5,6,0,0,0
Penske,UnitedStates,364,Automotive,3,2,,0,0,,,,0.275,4,1.1,0.275,1,24,60,0,60,James,Freeman,M,0,5,6,0,0,0
Lazersafe,UK,239,Technology,3,4,,0,0,,,,0.296,10,2.96,0.296,1,36,48,0,48,James,Freeman,M,0,5,6,0,0,0
Orlen,Poland,45,Oil,1,6,,0,0,,,,0.176,77,13.55,0.176,1,15,9,0,9,Daniel,Obajtek,M,4,2,7,0,0,0
Lucas Oil,UnitedStates,101,Oil,3,2,,0,0,,,,0.110,3,0.33,0.11,1,51,36,0,36,James,Freeman,M,4,2,7,0,0,0
Cypress,UnitedStates,185,Technology,3,5,,0,0,,,,0.343,17,5.83,0.343,1,30,73,0,73,Adolfo,Kortregt,M,1,7,5,0,0,0
Drugovich,Brazil,224,Automotive,1,2,,0,0,,,,0.083,5,0.42,0.084,1,5,15,0,15,Darrius,Hoogtelinck,M,2,7,1,0,0,0
HMD,UnitedStates,446,Automotive,5,5,,0,0.5,4,2,1.295,,20,25.9,1.295,1,55,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
Adler,Switzerland,348,Banking,1,4,,0.240,0,,,,0.095,7,0.9,0.129,1,1,6,0,6,Daniel,Obajtek,M,4,2,7,0,0,0
Alpine,France,98,Automotive,1,3,,0,0,1,17,0.085,,4,0.34,0.085,1,11,21,0,21,James,Freeman,M,4,2,7,0,0,0
USAF,UnitedStates,408,Security,1,5,,0,0,,,,0.079,10,0.79,0.079,1,17,21,0,21,James,Freeman,M,4,2,7,0,0,0
Red Bull,Austria,220,Alcoholic Drinks,3,5,,0,0,,,,0.221,18,3.98,0.221,1,24,31,0,31,Dietrich,Mateschitz,M,0,5,6,0,0,0
Esponsorama,Spain,310,Automotive,1,3,,0,0,,,,0.043,10,0.43,0.043,1,12,0,0,0,James,Freeman,M,0,5,6,0,0,0
Israel Start Up Nation,Israel,398,Travel,5,4,,0,0,,,,0.548,14,7.67,0.548,1,90,124,0,124,Luca,de Meo,M,1,1,9,0,0,0
Red Bull,Austria,11,Alcoholic Drinks,1,5,,0.119,0,,,,0.082,11,1.02,0.093,1,13,11,0,11,Dietrich,Mateschitz,M,0,5,6,0,0,0
Petronas,Malaysia,5,Oil,5,4,,0,0,,,,0.859,15,12.88,0.859,1,25,10,0,10,Muhammad,Aziz,M,1,5,9,0,0,0
Hugo Boss,Germany,118,Fashion,3,6,,3.317,0,,,,0.444,16,10.42,0.651,1,15,37,0,37,James,Freeman,M,0,5,6,0,0,0
Wynn's,Germany,51,Automotive,1,1,,0,0,,,,0.029,4,0.12,0.03,1,15,22,0,22,Nathen,Bourdeau,M,1,3,6,0,0,0
Sirius XM,UnitedStates,438,Media,5,2,,0.015,0,,,,0.683,5,3.43,0.686,1,25,30,0,30,Kyle,Malier,M,1,5,9,1,0,0
Esponsorama,Spain,310,Automotive,1,3,,0,0,4,5,0.432,,5,2.16,0.432,1,14,15,0,15,James,Freeman,M,0,5,6,0,0,0
Renesas,Japan,163,Technology,1,2,,0.202,0,,,,0.061,5,0.51,0.102,1,14,12,0,12,Adolfo,Kortregt,M,1,7,5,0,0,0
Amazon,UnitedStates,181,Appliances,1,1,,0,0,,,,0.038,2,0.08,0.04,1,15,0,0,0,Jeff,Besoz,M,3,5,8,0,0,0
USAF,UnitedStates,410,Security,1,3,,0,0,,,,0.054,5,0.27,0.054,1,3,5,0,5,James,Freeman,M,4,2,7,0,0,0
Givi,Italy,302,Automotive,1,1,,0.002,0,,,,0.046,3,0.14,0.047,1,18,0,0,0,James,Freeman,M,0,5,6,0,0,0
Karcher,Germany,17,Appliances,5,5,,0,1.5,1,17,0.210,,10,2.1,0.21,1,25,0,0,0,Harmut,Jenner,M,1,2,2,1,0,0
Richard Mille,Switzerland,365,Clothing,5,6,,0,0,,,,0.919,64,58.82,0.919,1,25,75,0,75,Kyle,Malier,M,1,5,9,1,0,0
Audi,Germany,356,Automotive,1,3,,0,0,,,,0.054,9,0.49,0.054,1,11,14,0,14,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Epson,Japan,275,Technology,3,4,,0.261,0,,,,0.299,15,4.75,0.317,1,48,0,0,0,James,Freeman,M,0,5,6,0,0,0
D'Station,Japan,123,Automotive,3,3,,0.769,1.9,5,4,0.941,,7,7.36,1.051,1,18,44,0,44,James,Freeman,M,0,5,6,0,0,0
Cognizant,UnitedStates,144,Technology,3,5,,0,1.4,4,4,1.008,,12,12.1,1.008,1,48,10,0,10,Brian,Humphries,M,3,6,6,0,0,0
United Rentals,UnitedStates,407,Automotive,3,5,,0,1.5,1,18,0.261,,12,3.13,0.261,1,30,13,0,13,James,Freeman,M,4,2,7,0,0,0
Natuzzi,Italy,376,Appliances,3,4,,0,0,,,,0.396,4,1.58,0.395,1,9,24,0,24,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Renault,France,343,Automotive,3,5,,0,0,,,,0.253,18,4.55,0.253,1,3,40,0,40,James,Freeman,M,4,2,7,0,0,0
Ray Ban,UnitedStates,57,Clothing,3,4,,0.876,0,,,,0.347,10,4.35,0.435,1,24,27,0,27,Matias,Hoopes,M,1,7,2,0,0,0
Stihl,Austria,323,Appliances,3,3,,0,0,,,,0.149,8,1.19,0.149,1,21,46,0,46,James,Freeman,M,0,5,6,0,0,0
Mission Winnow,UnitedStates,421,Charity,3,3,,0,0,4,5,0.732,,8,5.86,0.732,1,39,64,0,64,James,Freeman,M,0,5,6,0,0,0
Huawai,China,252,Technology,3,6,,0,0,,,,0.673,27,18.17,0.673,1,36,39,0,39,James,Freeman,M,4,2,7,0,0,0
Sky,UK,327,Media,3,6,,20.703,0,,,,0.685,223,173.46,0.778,1,42,66,0,66,James,Freeman,M,0,5,6,0,0,0
Sky,UK,327,Media,3,6,,22.301,0,,,,0.349,118,63.48,0.538,1,39,46,0,46,James,Freeman,M,0,5,6,0,0,0
Direct Supply,UnitedStates,90,Telecoms,3,4,,0,0,,,,0.161,8,1.29,0.161,1,15,0,0,0,James,Freeman,M,4,2,7,0,0,0
Hublot,Switzerland,159,Clothing,3,5,,0,0,3,5,0.633,,16,10.13,0.633,1,60,0,0,0,Carlo,Crocco,M,1,4,7,0,0,0
Vantelin,Japan,247,Appliances,3,2,,0,0,,,,0.149,3,0.45,0.15,1,9,37,0,37,Aguri,Suzuki,M,0,5,6,0,0,0
DB Schenker,Germany,161,Telecoms,3,5,,0,0,3,4,0.816,,21,17.14,0.816,1,57,50,0,50,Adolfo,Kortregt,M,1,7,5,0,0,0
Carrera,Italy,46,Clothing,3,5,,0,0,,,,0.311,19,5.91,0.311,1,9,0,0,0,Johnathon,Bout,M,1,4,9,0,0,0
Armstrong's,NewZealand,430,Automotive,3,6,,46.538,0,,,,0.366,117,89.36,0.764,1,24,24,0,24,Lana,Castle,F,4,5,7,0,0,0
Kimoa,Spain,335,Clothing,3,2,,0,0,,,,0.307,4,1.23,0.308,1,54,35,0,35,James,Freeman,M,0,5,6,0,0,0
Alpine,France,22,Automotive,3,4,,0.084,0,,,,0.323,4,1.38,0.345,1,24,48,0,48,Luca,de Meo,M,1,1,9,0,0,0
Amazon,UnitedStates,169,Appliances,3,4,,0.827,0,,,,0.275,5,2.2,0.44,1,51,74,0,74,Jeff,Besoz,M,4,2,7,0,0,0
Suzuki,Japan,292,Automotive,3,3,,0,0,,,,0.220,7,1.54,0.22,1,18,66,0,66,James,Freeman,M,0,5,6,0,0,0
Trident,Italy,231,Automotive,3,3,,0.586,0,5,4,1.044,,10,11.03,1.103,1,48,6,0,6,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Jumbo,Netherlands,158,Food,3,5,,0.410,0,,,,0.340,19,6.87,0.362,1,9,36,0,36,James,Freeman,M,4,2,7,0,0,0
NTT Data,Japan,253,Telecoms,3,4,,0,0,,,,0.305,12,3.66,0.305,1,30,19,0,19,James,Freeman,M,4,2,7,0,0,0
Sky,UK,318,Media,3,6,,10.724,0,,,,0.755,170,139.07,0.818,1,27,68,0,68,James,Freeman,M,0,5,6,0,0,0
Porsche,Germany,124,Automotive,3,5,,0,0,,,,0.306,9,2.75,0.306,1,54,13,0,13,James,Freeman,M,0,5,6,0,0,0
Verizon,UnitedStates,60,Alcoholic Drinks,3,1,,0,0,4,5,0.477,,2,0.95,0.475,1,9,0,0,0,Saskia,Boom,F,2,2,4,1,0,0
PMU,Japan,262,Automotive,3,5,,0,0,,,,0.275,17,4.68,0.275,1,42,39,0,39,Lana,Castle,F,4,5,7,0,0,0
United Rentals,UnitedStates,407,Automotive,3,5,,0,0,3,8,0.601,,21,12.62,0.601,1,6,48,0,48,James,Freeman,M,4,2,7,0,0,0
HP Tuners,UK,400,Oil,3,5,,0.374,0,,,,0.346,16,5.91,0.369,1,30,29,0,29,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Ecstar,Japan,296,Automotive,3,5,,0,0,,,,0.274,12,3.29,0.274,1,6,60,0,60,James,Freeman,M,0,5,6,0,0,0
USAF,UnitedStates,409,Security,3,4,,0,0,,,,0.407,10,4.07,0.407,1,30,5,0,5,James,Freeman,M,4,2,7,0,0,0
Motorex,Switzerland,240,Oil,3,3,,0,0,,,,0.214,6,1.28,0.213,1,57,31,0,31,James,Freeman,M,0,5,6,0,0,0
Kimoa,Spain,335,Clothing,3,1,,0,0,5,5,0.507,,4,2.03,0.507,1,60,0,0,0,James,Freeman,M,0,5,6,0,0,0
Martini,Italy,19,Technology,3,2,,0,0,,,,0.294,6,1.76,0.293,1,42,58,0,58,Bruno,Muller,M,1,1,2,0,0,0
Reale Seguros,Spain,324,Appliances,3,4,,0,0,,,,0.406,6,2.44,0.407,1,57,55,0,55,James,Freeman,M,0,5,6,0,0,0
Hitachi,Japan,250,Technology,3,4,,0,0,,,,0.333,13,4.33,0.333,1,42,38,0,38,James,Freeman,M,4,2,7,0,0,0
IWC Schaffhausen,Switzerland,8,Clothing,3,6,,0,0,,,,0.429,25,10.72,0.429,1,21,64,0,64,Christoph,Grainger-Herr,M,2,2,7,0,0,0
Busuu,UK,218,Games,3,5,,0,0,3,8,0.805,,23,18.52,0.805,1,51,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Barracuda,UK,299,Automotive,3,6,,20.525,0,,,,0.341,149,71.33,0.479,1,57,56,0,56,James,Freeman,M,0,5,6,0,0,0
Envision,UK,174,Technology,3,3,,0,0,,,,0.186,5,0.93,0.186,1,15,54,0,54,Adolfo,Kortregt,M,1,7,5,0,0,0
SKF,Sweden,443,Appliances,3,2,,0.033,0,,,,0.299,6,1.83,0.305,1,3,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
Gillette,UnitedStates,150,Appliances,3,6,,0.655,0,,,,0.506,134,68.46,0.511,1,12,0,0,0,James,Freeman,M,0,5,6,0,0,0
Jumbo,Netherlands,157,Food,3,6,,0,0,,,,0.525,93,48.82,0.525,1,15,0,0,0,James,Freeman,M,4,2,7,0,0,0
Hackett,UK,95,Clothing,3,5,,0,0,2,12,0.271,,23,6.23,0.271,1,27,0,0,0,James,Freeman,M,4,2,7,0,0,0
Gallacher,UK,186,Technology,3,1,,0,0,,,,0.127,2,0.25,0.125,1,30,29,0,29,James,Freeman,M,4,2,7,0,0,0
FP Journe,Switzerland,121,Clothing,3,5,,0,0,,,,0.340,16,5.44,0.34,1,39,62,0,62,Kyle,Malier,M,1,5,9,1,0,0
Riello,Italy,291,Automotive,3,3,,0,0,,,,0.183,10,1.83,0.183,1,30,37,0,37,James,Freeman,M,0,5,6,0,0,0
Gillette,UnitedStates,150,Appliances,3,2,,0,0,,,,0.246,4,0.98,0.245,1,27,0,0,0,James,Freeman,M,0,5,6,0,0,0
Casa Andrea,Italy,383,Alcoholic Drinks,3,5,,0,0,,,,0.303,21,6.36,0.303,1,45,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Suzuki,Japan,292,Automotive,3,1,,0,0,,,,0.115,4,0.46,0.115,1,60,32,0,32,James,Freeman,M,0,5,6,0,0,0
Vantelin,Japan,246,Appliances,3,2,,0,0,,,,0.126,4,0.5,0.125,1,51,20,0,20,Aguri,Suzuki,M,0,5,6,0,0,0
DB Schenker,Germany,161,Telecoms,3,3,,0.905,2.3,5,2,0.887,,7,7.11,1.016,1,57,0,0,0,Adolfo,Kortregt,M,1,7,5,0,0,0
Givi,Italy,302,Automotive,3,4,,0,0,,,,0.255,11,2.8,0.255,1,51,56,0,56,James,Freeman,M,0,5,6,0,0,0
Napa,UnitedStates,71,Automotive,3,3,,0,0,,,,0.222,4,0.89,0.222,1,51,0,0,0,James,Freeman,M,4,2,7,0,0,0
NTT Data,Japan,339,Telecoms,3,5,,0,0,,,,0.323,15,4.84,0.323,1,36,54,0,54,James,Freeman,M,4,2,7,0,0,0
Israel Start Up Nation,Israel,398,Travel,3,2,,0,0,,,,0.170,7,1.19,0.17,1,18,33,0,33,Luca,de Meo,M,1,1,9,0,0,0
Velo,UK,149,Alcoholic Drinks,3,6,,0,0,,,,0.396,38,15.05,0.396,1,45,25,0,25,James,Freeman,M,0,5,6,0,0,0
Alpine,France,425,Automotive,3,5,,0,0,,,,0.363,13,4.72,0.363,1,9,14,0,14,James,Freeman,M,4,2,7,0,0,0
Sonax,UnitedStates,411,Appliances,3,2,,0,0,,,,0.191,4,0.76,0.19,1,45,58,0,58,James,Freeman,M,4,2,7,0,0,0
Mobil 1,UnitedStates,138,Oil,3,4,,0,0,,,,0.435,11,4.78,0.435,1,18,0,0,0,Lana,Castle,F,4,5,7,0,0,0
Napa,UnitedStates,71,Automotive,3,3,,0,0,,,,0.142,10,1.42,0.142,1,12,18,0,18,James,Freeman,M,4,2,7,0,0,0
HP Tuners,UK,228,Oil,3,4,,3.147,0,,,,0.167,15,5.65,0.377,1,39,11,0,11,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Estrella Galicia,Spain,326,Alcoholic Drinks,3,5,,0.072,0,,,,0.362,13,4.78,0.368,1,57,0,0,0,James,Freeman,M,0,5,6,0,0,0
VolkerWessels,Netherlands,387,Technology,3,2,,0,0,,,,0.219,4,0.88,0.22,1,27,0,0,0,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Flex Box,UnitedStates,91,Technology,3,5,,0,0,,,,0.333,15,5,0.333,1,6,70,0,70,James,Freeman,M,4,2,7,0,0,0
Peroni,Italy,346,Alcholic Drinks,3,2,,0,0,,,,0.138,6,0.83,0.138,1,60,35,0,35,James,Freeman,M,4,2,7,0,0,0
Raphaelle,Switzerland,386,Fashion,3,5,,0,0,2,10,0.404,,18,7.27,0.404,1,21,74,0,74,Darrius,Hoogtelinck,M,2,7,1,0,0,0
United Autosports,UnitedStates,151,Automotive,3,2,,0,0,,,,0.138,7,0.97,0.139,1,3,66,0,66,Zak,Brown,M,1,2,2,1,0,0
Martini,Italy,19,Technology,3,1,,0,0,,,,0.127,3,0.38,0.127,1,57,27,0,27,Bruno,Muller,M,1,1,2,0,0,0
Singha,Thailand,48,Alcoholic Drinks,3,6,,4.870,0,,,,0.861,242,213.23,0.881,1,27,38,0,38,Luciano,Couwenhoven,M,1,3,9,0,0,0
Firestone,UnitedStates,424,Automotive,3,1,,0,0,,,,0.149,2,0.3,0.15,1,54,0,0,0,Kyle,Malier,M,1,5,9,1,0,0
